text,label
варёный,bowl-rice
приготовленный,bowl-rice
варёный рис,bowl-rice
рис,bowl-rice
приготовленный на пару,bowl-rice
варёный рис на ужин,bowl-rice
готовый рис подать,bowl-rice
приготовить варёный рис на неделю,bowl-rice
отварить рис,bowl-rice
рис на пару с овощами,bowl-rice
Отварить рис на ужин,bowl-rice
Приготовить рис на пару для блюда,bowl-rice
Приготовить суши-рис,bowl-rice
Настроить рисоварку на вечер,bowl-rice
Жареный рис на обед,bowl-rice
Отварить жасминовый рис,bowl-rice
Белый рис как гарнир,bowl-rice
Коричневый рис для meal prep,bowl-rice
Рис для жаркого сегодня вечером,bowl-rice
Приготовить рис на неделю вперёд,bowl-rice
Очень хочу риса прямо сейчас,bowl-rice
Давай приготовим рис к ужину,bowl-rice
Рисоварка — мой лучший друг,bowl-rice
Рис — всегда хорошая идея,bowl-rice
Отварть рис на ужин,bowl-rice
Приготовть рис на пару,bowl-rice
Сделать сушы-рис,bowl-rice
Жаренный рис на обд,bowl-rice
Приготовить пасту на ужин,bowl-rice
Миска супа на обед,bowl-rice
Пополнить миску корма для питомца,bowl-rice
Овсянка на завтрак,bowl-rice
Приготовить киноа как гарнир,bowl-rice
Салат на обед,bowl-rice
Варёный белый рис с маслом на ужин,bowl-rice
Варёный рис хранится в холодильнике,bowl-rice
Варёный рис для заготовки еды в воскресенье,bowl-rice
Рисоварка настроена на 19:00,bowl-rice
Варёный рис жасмин для карри,bowl-rice
