text,label
baked good,cookie
chocolate,cookie
cookie,cookie
treat,cookie
Bake a batch of baked goods,cookie
Buy baked goods at the store,cookie
Add chocolate chips to the dough,cookie
Chocolate chips for baking,cookie
Melt chocolate for the cookies,cookie
Buy cookies from the bakery,cookie
Make a dessert for the party,cookie
Pick a dessert from the menu,cookie
Eat cookies after dinner,cookie
Eat a snack between meals,cookie
Grab a snack from the pantry,cookie
Have a snack before the movie,cookie
Satisfy the sweet tooth,cookie
Make something sweet today,cookie
Give a treat to the kids,cookie
Get a treat from the bakery,cookie
Bake chocolate chip cookies,cookie
Make cookies for the school bake sale,cookie
Buy cookies at the grocery store,cookie
Decorate cookies for the holidays,cookie
Try a new cookie recipe,cookie
Pack cookies for the road trip,cookie
Give cookies as a gift,cookie
Make peanut butter cookies,cookie
Bake snickerdoodles,cookie
Grab a cookie with coffee,cookie
Cookie time!,cookie
Bake some cookies,cookie
Need a sweet snack,cookie
Grab a cookie,cookie
bake choclate chip cooikes,cookie
cokie recipe,cookie
buy cooikes at the store,cookie
make dessetr cookies,cookie
Eat a cookie with a bite taken out,cookie
Bake a birthday cake,cookie
Make a brownie from scratch,cookie
Buy a cupcake at the bakery,cookie
Make muffins for breakfast,cookie
Bake a pie for dessert,cookie
