text,label
bench,bench-tree
outside,bench-tree
park,bench-tree
picnic,bench-tree
sit on the bench in the park,bench-tree
spend time outside today,bench-tree
walk in the park,bench-tree
picnic in the park,bench-tree
plant a tree in the yard,bench-tree
Picnic in the park this Sunday,bench-tree
Morning walk in the park,bench-tree
Sit on the park bench and read,bench-tree
Take the kids to the park,bench-tree
Park walk with the dog,bench-tree
Find a quiet bench in the park,bench-tree
Weekend picnic with family,bench-tree
Afternoon at the park,bench-tree
Plant a tree in the garden,bench-tree
Park cleanup volunteer day,bench-tree
Let's find a nice bench in the park,bench-tree
I just want to sit outside for a while,bench-tree
Perfect day for a picnic in the park,bench-tree
We should take a walk in the park today,bench-tree
Picnic in the prk,bench-tree
Morining walk in the pak,bench-tree
Sit on the bech,bench-tree
Plantt a tree in the yadr,bench-tree
Park bench reading session this afternoon,bench-tree
Outside time after lunch in the yard,bench-tree
Park walk with the dog this evening,bench-tree
Picnic blanket and basket packed,bench-tree
Tree trimming service scheduled,bench-tree
tree,bench-tree
bench tree,bench-tree
don't forget bench,bench-tree
don't forget outside,bench-tree
don't forget park,bench-tree
don't forget picnic,bench-tree
don't forget tree,bench-tree
don't forget bench tree,bench-tree
bench for the trip,bench-tree
outside for the trip,bench-tree
park for the trip,bench-tree
picnic for the trip,bench-tree
tree for the trip,bench-tree
bench tree for the trip,bench-tree
look for bench online,bench-tree
look for outside online,bench-tree
look for park online,bench-tree
look for picnic online,bench-tree
look for tree online,bench-tree
look for bench tree online,bench-tree
evening bench,bench-tree
evening outside,bench-tree
evening park,bench-tree
evening picnic,bench-tree
evening tree,bench-tree
evening bench tree,bench-tree
bench after work,bench-tree
outside after work,bench-tree
