text,label
checkers,game-board
chess,game-board
gaming,game-board
grid,game-board
tabletop,game-board
Play checkers with a friend,game-board
Set up the checkers board,game-board
Play chess online,game-board
Learn chess openings,game-board
Try a new gaming experience,game-board
Gaming session tonight,game-board
Draw a grid for the game,game-board
Set up the grid on the board,game-board
Play a tabletop game,game-board
Host a game night,game-board
Buy a new board game,game-board
Play Scrabble on game night,game-board
Play a strategy board game,game-board
Invite friends for a tabletop session,game-board
Game night!,game-board
Chess time,game-board
Board game fun,game-board
Set up the board,game-board
play chekers with frined,game-board
set up the chsess board,game-board
tabletpo gaming night,game-board
buy a new bord game,game-board
Play a video game on the console,game-board
Roll the dice for a dice game,game-board
Play cards for poker night,game-board
Play a word game on the phone,game-board
Use a gamepad for the video game,game-board
Play an arcade game,game-board
